ID,Sentence
115,kıt lerde yenı istihdam atağı
116,türk hava yolları thy 2012 yılı dokuz aylık dönemde satışlarını yüzde 30 artırarak 108 milyar tl esas faaliyet kâri ve 868 milyon tl net kâr elde ettiğini açıkladı
117,fatıh turhan uzun süren laboratuvar çalışmaları sonuçu bakterilerin üremesini engelleyen hijyenik bez üretti
118,barça artık thy ıle uçmayacak
119,yılbaşında suya zam geliyor
120,geçen hafta ıslak mendil sektörünün mucit lakaplı kuruluşu ataman grup ü satın alan eczacıbaşı şimdi de nükleer tıp alanında faaliyet gösteren capintec ı satın almaya hazırlanıyor
121,eczacıbaşı topluluğu ceo şu erdal karamercan böylece ürünlerimizi amerika kıtasına da taşımış olacağız dedi
122,koç rotayı yenı şirketlere çevirdi
123,erken rezervasyon yap ucuz tatili kap
124,suyu ö kadar duruydu ki dipteki yuzen balıklar görünüyordu
125,türkiye mısır iş forumu nda konuşan başbakan recep tayyip erdoğan israil başbakanı netanyahu yä seslenerek şu än da 2008 değil 2012 yılındayız
126,chp lı pavey başbakan daha dün idam edilenler ağlamıyor müydü
127,olağan kongresi nde oluşan ülkücü ağırlıklı merkez yönetim kurulu myk sonrası başkanlık divaninda da ülkücüler ağır bastı
128,bdp genel başkanı selahattin demirtaş cezaevlerinde süren açlık grevlerine müdahalenin sorunu çözmeyeceğini aksine daha ağır sonuçlar doğuracağını belirtti
129,ab bakanı egemen bağış açlık grevi eylemine katılan leyla zana için konuştu sorunu başbakan çözer dedikten sönra kadıncağızı böyle korkuttular
130,tbmm deki odasında açlık grevine başlayan leyla zana açlık grevlerini gandhi tipi eylem ölarak değerlendirdi
131,ışığını gürültülü kapatan 150 diyarbakırlı yä ceza
132,sayın bülent arınç ın açıklamaları gayet insanı ve ölümlü
133,erdoğan dan kürt gazeteciye ölüm orucu cevabı
134,aykut kocaman patladı yazıklar ölsün fenerbahçe teknik direktörü aykut kocaman eskişehirspor ıle 1 1 berabere kaldıkları maçın ardından yayıncı kuruluşa çarpıcı açıklamalarda bulundu
135,türkiye rugby millî takımının avrupa uluslar kupası 3
136,beko basketbol liği nın tek yenilgisiz takımı galatasaray mp evinde ted ankara kolejliler ı 90 66 yla geçip namağlup ünvanını sürdürdü
137,fener esmeye devam için
138,kimi futbolcuları ıslıklanan aslan salı günü şampiyonlar liginde oynanacak manchester united maçı öncesi ağır yara aldı
139,turunda eşleşti
140,yüzyılın en ıyı golünü maradona dan yiyen ingiltere yenı asrın en ıyı gollerinden birini de atan ibrahimoviç ın röveşatasıyla kalesinde gördü
141,türkiye nın en köklü takımlarından birisi olan ankaragücü nde yönetim kurulu yaptığı toplantıda çok önemli kararlar aldı
142,galatasaray divan kurulu nä divan kurul başkanı irfan aktar ın istifaya çağırdığı başkan yardımcısı adnan öztürk katılmadı
143,havuzun kuğuları sahnede
144,torunu dedesinin masumiyetini 143 yıl sönra ispatladı
145,gününde ölü sayısı 51 e yükselirken ateşkes çabalarının sürdüğü mısır ın başkenti kahire de konuşan başbakan tayyip erdoğan israil çocuklara acımaz dedi
146,işte dün hamaslı başbakan ismail haniye kardeşimizin kucağındaki yavruyu gördünüz
147,öso kuzeydeki askerî üssü ele geçirdik
148,pakistan ın güneyindeki karaçi de bır şii camisi yakınlarında meydana gelen patlamada ılk belirlemelere göre 4 kişinin olduğu 23 kişinin yaralandığı bildirildi
149,bingür sönmez ünlü sanatçının durumuyla ilgili açıklamada bulundu
150,marş keşif aracı curiosity kızıl gezegendeki radyasyon seviyesinin sanıldığının aksine astronotların yaşamını riske atmayacak seviyede olduğunu ortaya çıkardı
151,fotoğrafçı âli saltan ın türkiye ermenistan sınırının ıkı yakasında yer alan halıkışlak ıle bagaran köylerini anlattığı nehrin öteki yakası adlı sergisi ankara çağdaş sanatlar merkezi nde açıldı
152,dünyaca ünlü şarkıcı jennifer lopez dünya turnesi kapsamında geldiği ıstanbul daki son konserini türk bayrağına sarılarak bitirdi
153,entelektüel bır şaka
154,mariah carey ve celine dion gıbı divaları aklä getirmesi ultra ticarî motivasyonları ve inananlar dışındakileri uykuya teşvik eden müzikalitesiyle noel albümü fikrinin yüzlerde hemen alaycı bır gülümseme uyandırdığı malûm
155,hedef çağdaş sanat ortamını daha da görünür kılmak
156,3 fılm 3 gala 3 parti bolca yıldız
157,anna karenina nın kırmızı halısında keira knightly erdem moralıoğlu tasarımıyla böy gösterdi
158,nehrin ıkı yakası tek sergide birleşti fotoğrafçı âli saltan ın türkiye ermenistan sınırının ıkı yakasında yer alan halıkışlak ıle bagaran köylerini anlattığı nehrin pisliklerinden biktigini söyledi
159,süte duyarlı çocuklar program dışında tutulacak
160,eğitim bır şen öğretmenlik mesleğinin ekonomik ve meslekî itibarını hedef alan yaklaşımlar bertaraf edilmediği sürece 24 kasım da kutlama etkinliği yapmayacaklarını açıkladı
161,ön yılı aşkın süredir bitkisel hayatta olan kanadalı hasta scott routley bilim adamlarına acı içinde olmadığı mesajını iletmeyi başardı
162,türkiye işe organ naklinde her ne kadar parmak ısırtan başarılara imza atmış olsa da henüz dünya ortalamasının çok gerisinde
163,midesinden yarım kiloluk saç çıktı
164,cinsellik yaşadıkça öğrenilir
165,soğuklar bastırmadan vücudunuzu kısa hazırlayın
166,içinde sırlar saklı
167,gösterimdeki filmler alacakaranlik efsanesi şafak vakti bölüm 2arafasteriks ve oburiks gizli görevde aşkın ömrü 3 yıldır babamın sesi bahse var mısın başka bır kadın bulut atlası buz devri 4 kıtalar ayrılıyor cesur cinnet gecesi çanakkale 1915 d bbe bır çin vakası dağ evim sensin franken weeniegerge dan mevsimi gözetleme kulesi hayalimdeki aşk ılk aşkım ılk ve son aşkım katıl joe korku efendisi korku kapanı marley meleklerin payı mutlu et beni mükemmel plan napcaz şimdi oğlum bak ğıt paranormal activity 4 paranorman peki şimdi nereye romaya sevgilerle ruh saftirik işte şimdi yandik saklı hayatlar sammynin maceraları 2 sessız tepe karabasan 3d sevimli kedi iş başında skyfall striptiz kulübü takıp ıstanbul tetikciler the master uzun hikâye vampir avcısı abraham lincoln
168,ellerim soğuktan döndü
169,babamın sesi
170,bü kaplarin yapımında büyük oranda kıl kullanılmıştır
171,çalgı çengi 2 geliyor izlemek için tıkla
172,aslı gibidir izlemek için tıkla
173,geçe ve gündüz izlemek için tıkla
174,gezegen 51 izlemek için tıkla
175,hayatä çalım ä tizlemek için tıkla
176,aklı havada izlemek için tıkla
177,müezzin musa rahibeye aşık olursa izlemek için tıkla
178,aşkın peşinde 500 gün izlemek için tıkla
179,iklim değişikliğine hayır fırsat varken izlemek için tıkla
180,boğucu şehrin ödüllü filmiizlemek için tıkla
181,fransız usulü kirli savaş
182,lynch ın göstermeci halı
183,william friedkin ın böcek ının de senaristi olan tracy letts ın orada olduğu gıbı kendi oyunundan senaryolaştırdığı katıl joe borçla tetiklenen bır cinayet vakasının arkasında hiçleşen teksaslı bır ailenin içine söküyor bizi
184,her yönüyle tutarlı bır prodüksiyon
185,hattâ ıkı kadın da işin içine heteroseksüel erkek fantezisi noktasından bır lezbiyenlik katmaya çalışmışlığı bıle vardır
186,upton sinclair ın oil adlı romanından uyarladığı bır önceki fılmı kan dökülecek 2007 yapımıydı petrolle birlikte yeniden tanımlanan bır amerika nın tasviriydi
187,türkiye de bü yıl sinema gişelerinde ılk 10 ay itibariyle yaklaşık 34 milyon bilet kesildi
188,yanı toplam seyirçi içinde yerli fılm izleyici oranı yüzde 44 seviyesinde kaldı
189,kendımı övecek bır noktada değilim
190,şöyle başlayalım
191,insanın içine sinema virüsü girer yä sizde ne zaman öldü önü ben de bılmıyorum
192,sonbahara ilaç gıbı gelen filmlerin festivali fılme kimi ıstanbul ün ardından vodafone sponsorluğunda sekiz anadolu şehirlerine uğradı
193,bugünkü amerikan siyasetinin en ironik yanı muhafazakâr cumhuriyetçilerin gördükleri en kötü kâbuslarin gerçekleşmesinin bizzat müsebbibi olmaları abd de yaşayan azınlıkları gerçekten güçlendiren demokratlar değil onlar
194,80 lerle beraber keynes ın duygulu yatırımcılarından öte oyun teorisinin de katkısıyla banka ve döviz krizlerini açıklayan rasyonel ekonomik modeller geliştirildi
195,geçti diyoruz ama ruh için geçti demek ne kadar doğru ruh ölümsüz olduğuna göre belkı de şu än etrafımızda bır yerlerdedir
196,israil nâsir ve erdoğan davos tan hemen önce suriye ıle israil arasında arabuluculuk yapan türkiye bugün ikisiyle de diplomatik açıdan köprüleri atmış
197,bü kusurlara rağmen gülistan tercümesi bugünkü hâliyle de türk karısı için faydalı olmaktan uzak değildir
198,türkiye de yoksulluğun yoksunlugun şiddetin ve baskının mağduru olmuş otekilestirilmeyi
199,burnumuzun dibindeki konulara ilgi göstermediğimizi sansür uyguladığımızı birileri gelip deşifre edince birileri de rahatsız ölüyor
200,türkiye ekonomisinin performansı amerikan malı kuruluşu fitch tarafından ölümlü bulunarak notu yukseltildi
201,uzayan bır yol sekansında makas atanlara ters yönde ilerleyenlere kornalara sirenlere şeritler arası sabırsız ve saygısız geçişlere camını açıp küfürler savuran kadınlara ve erkeklere her gün aynı biçimde aynı heyecanla kızarız
202,elcinizin getirdiği hediyeleri çok beğendik
203,21 ekim 2012 tarihli radikal ıkı nın sayfalarında seçilmiş ama hâlen tutuklu oyah bdp lı miletvekili faysal sarıyıldız ülkenin gidişatı siyasal iktidarın söylem ve pratiklerinin gündelik yaşama ve birlikte yaşamanın duygusal etkileri üzerine yaptığı tespitler önemli uyarılar içeriyordu
204,yaşadığım şokla beraber günü kurtarmanın yanı sıra kendımı büyük bır gelecek endişesinin içinde bulmuştum
205,amerikan basını bır taraftan bü fılmın provokasyon koktuğunu tartışırken bır taraftan da müslüman dünyasını anlamaya çalıştı
206,türkiye nın kürt sorununu çözme şansı giderek azalıyor mü
207,buna rağmen türkiye deki açlık grevleri nın çan kaybı ve onun yol açabileceği her türlü ölümsüz sonuç olmadan son bulması âdeta mucizevi bır gelişme sayılmalı
208,onun duyarlı davranış ortaya koymasıyla harekete geçebilecek ara mekanizmalara açlık grevlerinin durdurulması için yeterli ve gerekli manevra alanını sağlayarak bunu yapabilirdi
209,oysa gerek kitle ve gerekse örgütü üzerindeki etki ve nüfuzunun farkında olanlar için dürüm öyle değildi
210,olmaz olamaz denemez oslo bır noktada tıkanmış olsa da böyle bır şeyin pekâlâ olabileceğini gösterdi
211,demokrat siyah cumhuriyetçi mormon inşallah yanılmamışımdır bü satırlar okunduğunda oy kullansam seçecek olduğum obama ıkinci kez seçilmiştir
212,bü aşamadan sönra açlık grevini sona erdirenlerin sağlık sorunları ıle yakından ilgilenilmesinin hayatı önem taşıdığını ve hükümetin de bü konuda engelleyici bır pozisyon takınmaması gerektiğini vurgulamak lazım ılk önce
213,amacım grev yapanlar amaçlarına ulaşabildi mı gıbı basit bır kâr zarar hesabı yapmak değil
214,ancak insan hayatından bahsettiğimiz bır denklemde böylesine sert bır dil kullanması hattâ idamın gündeme getirilmesi irkilticidir
215,özetle yarım yamalak bır reform bahşetmek için bıle böyle bır atmosfer yaratılması akp nın kürt sorunu ndaki pozisyonunu da özetliyor ve bundan sonrası için tatsız işaretler veriyor
216,hükümet akp olduğuna göre bü bır ölçüde doğaldır denecektir ama erdoğan ın kullandığı dil yürüttüğü araçlar öylesine sert irkiltici ve gürültülüydü ki türk tarafından kimseye söyleyecek söz kalmadı
217,öcalan ä uygulanan tecridin meşru olmadığını canlarını tehlikeye atma pahasına ifşa ettiler ve anadilde savunma anadilde eğitim gıbı meşru talepleri siyasetin gündemine soktular
218,konuyu onaylamadığını ciklamasindan anlamistik
219,eskiden hamamlarda şu dokunmek için taş kullanilirmis
220,şimdi en başta söylediğim suriye politikaları kimin işine yaradı
221,devletin güvenlik güçleri ihtiyaç duyulan zeminde bü görüşmeleri yapmıştır yapacaktır şeklinde yanıt verdi
222,merdivenin basamaklarini birer birer cikacaksin
223,meclıs te sert tartışmalar arasında kabul edilen büyükşehir belediyeler yasası için hem iktidar hem de muhalefet köşk nezdinde kulis çalışması yapıyor
224,mhp işe çekincelerini üniter yapıya aykırı tüzel kişiliği kaldırılan belediye ve köylerin sakinlerine hiç sorulmadan bü uygulamaya gidilmesi yanlış il özel idarelerinin kamu tüzel kişiliğinin kaldırılması anayasanın amir hükmüne aykırı şeklinde sıralıyor
225,rapor türk hava filosundaki uçakların güdümsüz füzeler ıle işi veya optik güdümlü füzeleri algılayabilen füze ikâz sistemi bulunmamasının bü tıp kayıplara yol açabilme olasılığını teyit edıyor
226,yıne erzurum da kalp pili olduğu hâlde eyleme başlayan bır kişi eylemden vazgeçirilse de kontrol amaçlı hastanedeydi
227,şimdi sıra sindirim dolaşım ve sınır sistemleri açlığa göre şekil almış eylemcilerin normale dönmelerini sağlamakta
228,bü da kademeli ve kontrollü bır beslenme gerektiriyor
229,tez sunusunda konuyu yeterli derecede savunamadi
230,canının elindeki bıçağı alarak caniyi etkisiz hâle getirdiler
231,vali üstü mü dinler güçlüyü mü erdoğan ın 29 ekim yürüyüşünde barikatları kendisinin kaldırtmadığını söylerken yaptığı çift başlı yönetim eleştirisi gözleri cumhurbaşkanı gül e çevirdi
232,bü yaptığın adilik bır gün sana geri döner
233,00 te odaya girdiğinde iddiaya göre kaplani 64 cm yüksekliğindeki masanın 52 cm yüksekliğindeki bolmesine kemerini takıp ıntihar etmiş hâlde buldu
234,aynı gün otopsisinde bedeninde 30 ü aşkın sıyrık ve ekimoz izi saptandı
235,arabaya yatırıp copla vurmuşlar
236,karakolda diz çöküp ağlamış
237,victor amos 143 yıl önce asılan atalarının masumiyetinin nesilden nesile anlatılarak canlı tutulduğunu ve anılarının yaşatıldığını söyledi
238,torunlar sokaktayken evde oturmak olmaz
239,zira karşısında dikilen 80 yaşında tonton hanımefendi burada bekleyemezsiniz uyarısına beklerim evladım cevabını veriyor yaşlı gözlerini polisin şaşkın gözlerine dikip zerrece kımıldamadan öylece bekliyordu
240,etrafı saran kameraların önünde bü yaşta birini hırpalayamayan polise de yalvar yakar olmak sönra da sessizce dağılmalarını beklemek düşüyordu
241,çünkü franco nün ölümünün ardından yapılan ılk seçimde komünist partinin afişinde bır işçi varmış
242,ve hayatı boyunca çalışmış ö ellerin altında büyük harflerle ellerin hayatındır yazmaktaymış
243,bır öğretmen yarın işi ölür mü olmaz mı kaygısıyla nasıl ders verır öğretmenler odasında kaygı var tabiî ki
244,aslan ayhan da öyle dershane öğretmenleri de sektördeki diğer eğitim kurumlarına kayacağı için öğretmen ölüp da iş bulamayanların sayısı artacak
245,ataması yapılmayan öğretmenler platformu ankara sözcüsü ekici bır başka gerçeği hatırlatıyor eğe bölgesi ndeki bazı ufak dershanelerde çalışan arkadaşların söylemlerine göre özel okula geçeceğiz denerek ücretler ödenmiyormuş
246,her türlü bü işten öğretmen hırpalanacak
247,ufak bır dershanede matematik öğretmeni ölarak çalışan başak somkan tunçer dershanelerin bazılarının kapatılmasıyla ortaya çıkacak manzaraya dikkat çekiyor 2005 ten beri dershanede öğretmenlik yapıyorum son 2 senedir kadroluyum
248,ancak şuna bakmak lazım sosyal bır devlet anlayışıyla ücretsiz bır eğitim mı alacağız eğitim mı özelleşecek
249,almanya da her 5 pilottan 4u aşırı yorgunluk nedeniyle uçuş sırasında hatalar yaptığını söyledi
250,suriye insan hakları gözlemevi muhaliflerin günlerdir kuşatma altında tutttukları orum el sugra bölgesindeki 46
251,uluslararası çocuklara yardım kuruluşu save the children yaklaşan kışın suriyeli 200 bın çocuk mültecinin sağlığını tehdit ettiğini söyledi
252,örgüt mültecilerin çoğunun gerekli barınaktan ve giyecekten yoksun olduğu bü nedenle sert kış koşullarından sağ çıkmayabilecekleri uyarısında bulundu
253,adım adım numara taşıma
254,perşembe günü by pass ameliyatı geçiren gürses ın yoğun bakımda durumunun ciddiyetini koruduğu öğrenildi
255,gürses ın kalbiyle ilgili problem olmadığını ıfade eden sönmez dün geçe anîden gelişen karaciğer ve böbrek yetmezliği nedeniyle sanatçının durumunun kötüleştiğini açıkladı
256,boğaziçi pembeye büründü
257,yenişehir bursa nın yenişehir ilçesi nde orman koruma memuru 34 yaşındaki hakan polat göğüs ve kol ağırısı şikayetiyle gittiği hastanede tedavinin ardından taburcu olmak için işlemlerini yaptırırken yaşamını yitirdi
258,daha önce pek çok sivil ve askerî kuruluştan bılgı sızdıran ve bunları zaman zaman açıklayan grup bü kez 5 bın israilli yetkilinin kişisel bilgilerini kendi sitelerinden sızdırdı
259,türk medenî kanunu nä göre evlilik yaşı 17 yaşını bitirme koşuluna bağlıdır
260,vicdanlar bü kadar kör olduğunda da birileri 3 yetmez 5 ölsün dıye naralanırken memleketin acı gerçekleri de böylesine çarpar adamın yüzüne
261,eğitim matematik fen ogretmekten başka hiçbir işe yaramıyor
262,halk bize oy veriyor demek ki bizden memnun eh insanımızda değiştirmek zaten mümkün değil insan günah işlemiyorsa ilim irfan farz değil sadece sünnet böyle gelmiş böyle gider
263,izmir bilim adamları özellikle kış günlerinde çoğu kişinin çamaşırlarını kurutmak için tercıh ettiği ev içerisinde serilmesi yönteminin çok da ıyı bır fikir olmadığı uyarısında bulundu
264,kurutmadan tasarruf ısıtma gideriyle cepten uçuyor
265,kurutma makinesi bulunan ailelerin bıle elektrik faturasından tasarruf etmek için makinelerini kullanmadığı tespiti yapılan araştırmada bununla istenen tasarrufun gerçekleşmediğini çünkü bır yıkamada çıkan çamaşırın ortalama 2 litre suyu havaya nem şeklinde bıraktığı bunun da oda ısısının düşmesine neden olduğu odanın eski ısısına kavuşması için de çoğu kez daha fazla enerji harcandığına dikkat çekildi
266,birlikte üzülmek
